日期,小时,广告计划,曝光量,点击量,转化数,归因转化数,消耗
D001,0,10341182,157,67,7,5,0.0385098729
D001,0,10474106,9,4,2,0,0.0031875294
D001,0,12121528,11,3,0,0,0.0049621208
D001,0,12843318,3,2,0,0,0.0000556313
D001,0,13947795,19,4,0,0,0.0032607969
D001,0,14121532,34,12,4,2,0.0119923687
D001,0,14235907,9,3,1,1,0.0163517721
D001,0,14458654,8,2,0,0,0.0008609004
D001,0,14661605,32,12,1,1,0.0187170388
D001,0,15184511,75,25,11,8,0.0448518029
D001,0,15398570,51,17,4,1,0.0165647323
D001,0,15746419,5,3,0,0,0.0109284653
D001,0,16823030,6,3,1,0,0.0012120952
D001,0,17321082,26,15,3,1,0.0077109166
D001,0,17686799,111,30,1,1,0.0154947327
D001,0,18975823,106,57,8,3,0.0316369189
D001,0,19129839,24,9,0,0,0.0083337272
D001,0,23852329,13,1,0,0,0.0017545671
D001,0,24378636,48,22,0,0,0.0058617983
D001,0,24389111,15,2,1,0,0.0063150695
D001,0,26091094,5,2,0,0,0.0012651945
D001,0,26998428,13,4,0,0,0.0026798642
D001,0,27118781,7,3,0,0,0.0006268542
D001,0,27321366,21,5,0,0,0.0025934406
D001,0,2828357,7,2,0,0,0.0045236299
D001,0,28351001,13,10,1,1,0.0079970351
D001,0,2865314,30,8,0,0,0.0050857929
D001,0,28739284,15,7,1,0,0.0132530484
D001,0,28795042,6,3,0,0,0.0003023264
D001,0,28896342,5,1,0,0,0.0020481131
D001,0,29427842,39,12,3,1,0.0142167364
D001,0,30368132,5,2,0,0,0.0039645399
D001,0,30491418,100,40,7,3,0.0536187429
D001,0,30535894,5,3,0,0,0.0028264951
D001,0,30801593,172,74,14,11,0.0141741129
D001,0,31772643,29,9,0,0,0.0056824940
D001,0,32323516,8,4,2,2,0.0009993937
D001,0,32368244,144,64,23,10,0.0666321572
D001,0,32452111,19,5,2,0,0.0033086771
D001,0,3892353,6,3,1,0,0.0011220989
D001,0,4869922,6,1,0,0,0.0009380894
D001,0,497593,118,55,3,3,0.0062542285
D001,0,5061834,64,15,1,0,0.0288680074
D001,0,6686701,29,12,3,1,0.0123166279
D001,0,6686704,20,6,0,0,0.0056506091
D001,0,6886817,10,4,0,0,0.0027762131
D001,0,7061828,45,12,1,1,0.0062833390
D001,0,7121544,23,11,0,0,0.0059050479
D001,0,9100693,65,27,18,15,0.0118303485
D001,1,10341182,184,67,11,6,0.0452705564
D001,1,10474106,1,1,0,0,0.0014278166
D001,1,12121528,4,1,0,0,0.0005657335
D001,1,12843318,17,10,0,0,0.0027599972
D001,1,13947795,9,1,0,0,0.0012485187
D001,1,14121532,8,2,0,0,0.0028146653
D001,1,14235907,6,3,2,2,0.0032846674
D001,1,14458654,6,3,0,0,0.0011091984
D001,1,14661605,26,9,2,0,0.0048634793
D001,1,15184511,30,13,5,4,0.0204213541
D001,1,15398570,82,37,7,2,0.0261614972
D001,1,15746419,2,1,0,0,0.0004037176
D001,1,16823030,3,1,0,0,0.0004898435
D001,1,17321082,12,5,1,1,0.0023627233
D001,1,17686799,59,15,0,0,0.0100019576
D001,1,18975823,40,19,1,1,0.0094054949
D001,1,19129839,19,7,0,0,0.0146714000
D001,1,23852329,8,3,0,0,0.0086662991
D001,1,24378636,36,15,0,0,0.0039058133
D001,1,24389111,7,2,0,0,0.0007953498
D001,1,26091094,1,0,0,0,0.0002951933
D001,1,26998428,2,1,0,0,0.0004033124
D001,1,27118781,7,3,0,0,0.0034620610
D001,1,27321366,11,1,0,0,0.0027932315
D001,1,2828357,6,5,0,0,0.0015361492
D001,1,28351001,17,8,1,1,0.0096962618
D001,1,2865314,15,3,0,0,0.0014659020
D001,1,28739284,11,5,1,0,0.0041307424
D001,1,28795042,7,3,0,0,0.0013717088
D001,1,28896342,2,0,0,0,0.0002604420
D001,1,29427842,20,9,1,1,0.0144659759
D001,1,30368132,5,3,0,0,0.0018391709
D001,1,30491418,51,19,2,0,0.0289573180
D001,1,30535894,5,3,0,0,0.0044603198
D001,1,30801593,110,45,8,3,0.0077988573
D001,1,31772643,13,8,4,4,0.0092155791
D001,1,32323516,24,5,0,0,0.0047833571
D001,1,32368244,92,42,18,12,0.0745423747
D001,1,32452111,13,1,0,0,0.0013391993
D001,1,3892353,4,2,0,0,0.0002511410
D001,1,4869922,9,1,0,0,0.0008616286
D001,1,497593,86,37,1,1,0.0053309140
D001,1,5061834,37,5,0,0,0.0078521461
D001,1,6686701,17,8,4,3,0.0098943026
D001,1,6686704,6,3,1,0,0.0010832278
D001,1,6886817,14,7,0,0,0.0016934471
D001,1,7061828,23,7,1,1,0.0034734381
D001,1,7121544,24,4,0,0,0.0025481499
D001,1,9100693,30,8,3,1,0.0056150464
D001,2,10341182,232,103,17,13,0.0487418157
D001,2,10474106,4,2,0,0,0.0008247730
D001,2,12121528,1,0,0,0,0.0003036127
D001,2,12843318,12,7,0,0,0.0064760728
D001,2,13947795,6,1,0,0,0.0012700403
D001,2,14121532,13,5,0,0,0.0043065816
D001,2,14235907,3,1,0,0,0.0007468883
D001,2,14661605,9,1,0,0,0.0016047587
D001,2,15184511,22,8,1,1,0.0278653831
D001,2,15398570,100,37,10,6,0.0261722791
D001,2,15746419,3,2,0,0,0.0003731251
D001,2,16823030,4,0,0,0,0.0007273951
D001,2,17321082,4,0,0,0,0.0201202457
D001,2,17686799,37,13,2,2,0.0077031809
D001,2,18975823,29,15,0,0,0.0027709605
D001,2,19129839,8,2,0,0,0.0111322499
D001,2,23852329,8,4,1,0,0.0015944894
D001,2,24378636,44,8,0,0,0.0080409528
D001,2,24389111,12,3,0,0,0.0034985632
D001,2,26091094,4,2,0,0,0.0040551282
D001,2,26998428,5,0,0,0,0.0030690166
D001,2,27118781,11,7,1,1,0.0047782467
D001,2,27321366,10,3,0,0,0.0021801979
D001,2,2828357,2,0,0,0,0.0005720588
D001,2,28351001,22,9,3,2,0.0052411152
D001,2,2865314,13,4,2,1,0.0038610919
D001,2,28739284,6,3,0,0,0.0018906986
D001,2,28795042,9,5,0,0,0.0021393988
D001,2,28896342,2,0,0,0,0.0001187896
D001,2,29427842,21,4,0,0,0.0124367316
D001,2,30368132,3,1,0,0,0.0004915793
D001,2,30491418,23,11,1,1,0.0111015327
D001,2,30535894,1,1,0,0,0.0006211552
D001,2,30801593,95,45,7,5,0.0055867329
D001,2,31772643,22,8,1,1,0.0019453716
D001,2,32323516,6,1,0,0,0.0004788330
D001,2,32368244,71,42,26,12,0.0686481513
D001,2,32452111,9,4,0,0,0.0010561432
D001,2,3892353,3,1,0,0,0.0016470809
D001,2,4869922,6,3,1,0,0.0012435222
D001,2,497593,64,27,2,2,0.0031998850
D001,2,5061834,27,9,0,0,0.0177037269
D001,2,6686701,4,4,0,0,0.0044940706
D001,2,6686704,7,2,0,0,0.0046759365
D001,2,6886817,22,8,3,2,0.0080379235
D001,2,7061828,19,7,1,1,0.0081780174
D001,2,7121544,37,7,0,0,0.0067348254
D001,2,9100693,12,6,3,3,0.0044822599
D001,3,10341182,435,197,38,25,0.1051664972
D001,3,10474106,4,1,0,0,0.0009062776
D001,3,12121528,9,8,1,0,0.0043563804
D001,3,12843318,10,8,1,1,0.0038264371
D001,3,13947795,9,2,0,0,0.0025246769
D001,3,14121532,9,3,1,1,0.0053189909
D001,3,14235907,7,2,0,0,0.0010047707
D001,3,14458654,3,2,2,2,0.0039905752
D001,3,14661605,8,3,1,0,0.0104704173
D001,3,15184511,22,5,1,1,0.0065331979
D001,3,15398570,179,78,13,4,0.0467039544
D001,3,15746419,11,5,0,0,0.0027776943
D001,3,16823030,7,5,0,0,0.0008146050
D001,3,17321082,9,4,0,0,0.0024642792
D001,3,17686799,44,15,0,0,0.0060674066
D001,3,18975823,66,30,1,1,0.0208191261
D001,3,19129839,12,4,0,0,0.0014283381
D001,3,23852329,9,1,0,0,0.0016403372
D001,3,24378636,46,14,0,0,0.0039707778
D001,3,24389111,8,3,0,0,0.0016129990
D001,3,26091094,3,0,0,0,0.0002590798
D001,3,26998428,15,6,0,0,0.0045543228
D001,3,27118781,19,11,2,2,0.0054669936
D001,3,27321366,18,9,3,0,0.0095316341
D001,3,2828357,3,2,0,0,0.0013431761
D001,3,28351001,27,15,5,2,0.0120182211
D001,3,2865314,9,2,0,0,0.0022637686
D001,3,28739284,3,1,0,0,0.0007436387
D001,3,28795042,41,12,4,1,0.0028549398
D001,3,28896342,4,1,0,0,0.0006112114
D001,3,29427842,28,8,1,1,0.0222458416
D001,3,30368132,3,2,1,1,0.0012018496
D001,3,30491418,20,5,0,0,0.0056929136
D001,3,30535894,8,5,0,0,0.0085901147
D001,3,30801593,200,74,3,2,0.0086230445
D001,3,31772643,15,5,0,0,0.0042060646
D001,3,32323516,25,9,0,0,0.0039573909
D001,3,32368244,40,18,8,8,0.0291629335
D001,3,32452111,11,5,0,0,0.0027844112
D001,3,3892353,3,1,1,0,0.0003499256
D001,3,4869922,4,2,0,0,0.0002634774
D001,3,497593,37,17,2,2,0.0024442411
D001,3,5061834,38,16,1,0,0.0206235081
D001,3,6686701,7,4,2,2,0.0007625062
D001,3,6686704,5,1,0,0,0.0013524851
D001,3,6886817,43,19,1,0,0.0147297421
D001,3,7061828,31,10,3,3,0.0193409690
D001,3,7121544,57,24,6,2,0.0147743515
D001,3,9100693,10,5,2,2,0.0018116299
D001,4,10341182,538,235,52,34,0.1631401956
D001,4,10474106,20,14,2,0,0.0184516162
D001,4,12121528,20,6,0,0,0.0051749406
D001,4,12843318,12,10,1,0,0.0030604470
D001,4,13947795,17,5,0,0,0.0052798967
D001,4,14121532,20,11,3,1,0.0130582799
D001,4,14235907,12,3,0,0,0.0068634170
D001,4,14458654,5,4,2,2,0.0027476915
